iter	Passed	Remaining
0	130	130483
1	131	65733
2	133	44240
3	134	33418
4	136	27071
5	137	22717
6	138	19606
7	139	17288
8	140	15495
9	142	14088
10	144	12960
11	145	11995
12	146	11157
13	148	10434
14	149	9806
15	150	9251
16	151	8764
17	152	8334
18	153	7949
19	154	7589
20	156	7285
21	158	7041
22	160	6805
23	161	6582
24	163	6359
25	164	6151
26	165	5963
27	166	5783
28	167	5616
29	168	5461
30	169	5313
31	171	5199
32	173	5090
33	175	4972
34	176	4861
35	177	4753
36	178	4648
37	179	4551
38	181	4460
39	182	4375
40	183	4292
41	184	4215
42	186	4151
43	188	4098
44	189	4028
45	191	3961
46	192	3903
47	193	3845
48	195	3786
49	196	3727
50	197	3670
51	198	3617
52	199	3568
53	201	3522
54	202	3486
55	204	3444
56	205	3403
57	206	3361
58	208	3319
59	209	3275
60	209	3232
61	210	3191
62	212	3154
63	213	3119
64	214	3089
65	216	3064
66	218	3035
67	219	3006
68	220	2978
69	221	2948
70	223	2921
71	224	2894
72	225	2868
73	227	2842
74	228	2815
75	230	2797
76	232	2782
77	233	2758
78	234	2734
79	235	2713
80	237	2691
81	238	2670
82	239	2643
83	240	2622
84	241	2602
85	243	2583
86	245	2572
87	246	2558
88	248	2539
89	249	2521
90	250	2500
91	251	2481
92	252	2462
93	253	2443
94	254	2424
95	255	2406
96	256	2389
97	257	2372
98	259	2362
99	261	2353
100	262	2340
101	264	2327
102	265	2311
103	266	2297
104	267	2284
105	269	2271
106	271	2262
107	272	2249
108	273	2236
109	275	2225
110	276	2217
111	277	2203
112	279	2190
113	280	2178
114	281	2166
115	282	2154
116	283	2139
117	284	2125
118	285	2112
119	286	2100
120	287	2089
121	288	2077
122	290	2071
123	292	2063
124	293	2054
125	295	2046
126	295	2034
127	297	2024
128	298	2015
129	299	2006
130	301	1999
131	302	1990
132	303	1981
133	305	1975
134	307	1968
135	308	1958
136	309	1948
137	310	1939
138	311	1930
139	312	1921
140	314	1913
141	315	1903
142	316	1896
143	317	1889
144	319	1886
145	321	1883
146	323	1875
147	324	1867
148	325	1861
149	327	1855
150	328	1847
151	329	1839
152	331	1832
153	332	1824
154	333	1817
155	334	1812
156	336	1808
157	338	1802
158	339	1797
159	341	1791
160	342	1782
161	343	1775
162	344	1770
163	346	1764
164	347	1758
165	348	1752
166	350	1749
167	352	1745
168	353	1739
169	355	1733
170	356	1727
171	357	1720
172	358	1715
173	360	1709
174	361	1704
175	362	1698
176	364	1694
177	366	1693
178	367	1687
179	368	1680
180	370	1675
181	371	1670
182	372	1663
183	373	1658
184	374	1651
185	375	1644
186	377	1639
187	378	1633
188	379	1628
189	380	1624
190	382	1619
191	383	1614
192	384	1609
193	385	1603
194	387	1597
195	388	1591
196	389	1586
197	390	1582
198	391	1577
199	392	1571
200	394	1569
201	397	1570
202	399	1568
203	401	1566
204	402	1562
205	403	1556
206	404	1551
207	406	1546
208	407	1542
209	410	1544
210	413	1545
211	415	1542
212	416	1539
213	418	1537
214	420	1534
215	422	1532
216	423	1528
217	425	1526
218	427	1525
219	429	1522
220	431	1521
221	433	1518
222	434	1514
223	436	1510
224	437	1507
225	439	1506
226	442	1507
227	444	1503
228	445	1500
229	447	1496
230	448	1494
231	450	1490
232	452	1487
233	454	1486
234	457	1490
235	459	1487
236	463	1491
237	464	1488
238	466	1484
239	468	1483
240	470	1482
241	472	1481
242	475	1479
243	476	1476
244	477	1472
245	479	1469
246	480	1466
247	482	1462
248	483	1459
249	488	1466
250	490	1462
251	491	1458
252	492	1455
253	494	1451
254	495	1448
255	496	1444
256	498	1440
257	499	1437
258	502	1436
259	504	1436
260	506	1434
261	508	1431
262	509	1428
263	510	1424
264	512	1420
265	513	1416
266	520	1428
267	522	1426
268	523	1422
269	524	1419
270	526	1416
271	527	1412
272	529	1409
273	531	1407
274	533	1406
275	535	1403
276	536	1400
277	538	1397
278	539	1394
279	540	1390
280	542	1388
281	543	1384
282	544	1380
283	546	1377
284	548	1375
285	549	1372
286	550	1368
287	552	1364
288	553	1361
289	554	1358
290	556	1355
291	557	1351
292	558	1348
293	559	1344
294	561	1342
295	563	1340
296	564	1337
297	566	1333
298	567	1330
299	568	1326
300	569	1322
301	570	1319
302	571	1315
303	572	1311
304	573	1307
305	574	1303
306	576	1301
307	578	1299
308	579	1296
309	580	1292
310	581	1288
311	582	1285
312	583	1281
313	585	1278
314	586	1275
315	587	1271
316	588	1268
317	589	1265
318	591	1263
319	593	1262
320	595	1258
321	596	1255
322	597	1252
323	599	1249
324	600	1246
325	601	1243
326	603	1241
327	604	1239
328	606	1237
329	608	1235
330	609	1231
331	610	1228
332	611	1225
333	613	1222
334	614	1219
335	615	1215
336	616	1212
337	617	1209
338	618	1206
339	619	1203
340	621	1201
341	623	1199
342	624	1196
343	625	1193
344	626	1189
345	628	1187
346	629	1183
347	630	1180
348	631	1177
349	632	1173
350	632	1170
351	634	1167
352	635	1164
353	637	1163
354	638	1160
355	640	1158
356	641	1155
357	642	1152
358	643	1149
359	645	1146
360	646	1143
361	647	1140
362	648	1137
363	649	1134
364	651	1133
365	653	1131
366	654	1128
367	655	1125
368	656	1122
369	657	1120
370	658	1117
371	660	1114
372	661	1111
373	662	1109
374	663	1106
375	664	1103
376	666	1101
377	668	1099
378	669	1097
379	670	1094
380	672	1091
381	673	1088
382	674	1086
383	675	1083
384	676	1080
385	677	1077
386	678	1075
387	679	1072
388	681	1070
389	683	1068
390	684	1066
391	685	1063
392	686	1060
393	687	1058
394	689	1055
395	690	1052
396	691	1050
397	692	1047
398	693	1044
399	694	1042
400	697	1041
401	699	1039
402	700	1037
403	701	1034
404	702	1032
405	703	1029
406	704	1026
407	705	1023
408	706	1020
409	707	1018
410	708	1015
411	709	1012
412	711	1010
413	712	1008
414	714	1006
415	715	1003
416	716	1001
417	717	998
418	718	996
419	719	993
420	720	990
421	721	988
422	722	985
423	723	983
424	724	980
425	727	979
426	729	978
427	730	975
428	731	973
429	732	970
430	733	968
431	734	965
432	735	963
433	736	960
434	738	958
435	739	956
436	740	954
437	742	952
438	744	950
439	745	948
440	746	945
441	747	943
442	748	941
443	749	938
444	750	936
445	751	933
446	752	931
447	754	929
448	756	928
449	758	926
450	759	924
451	760	922
452	761	920
453	763	917
454	764	915
455	765	912
456	766	910
457	767	908
458	768	905
459	769	903
460	770	901
461	772	899
462	773	897
463	775	895
464	776	893
465	777	890
466	778	888
467	779	886
468	781	884
469	782	882
470	783	879
471	784	877
472	785	875
473	786	873
474	788	871
475	789	868
476	790	866
477	791	864
478	792	861
479	793	859
480	794	857
481	796	855
482	797	853
483	798	851
484	799	848
485	801	847
486	802	845
487	803	843
488	805	841
489	806	839
490	807	836
491	808	834
492	809	832
493	810	830
494	811	827
495	812	825
496	813	823
497	814	820
498	815	818
499	816	816
500	818	815
501	820	813
502	821	811
503	822	809
504	823	807
505	825	805
506	826	803
507	828	801
508	851	821
509	853	819
510	854	818
511	856	816
512	858	814
513	859	813
514	861	811
515	863	809
516	870	813
517	872	812
518	874	810
519	876	809
520	878	807
521	880	806
522	883	805
523	884	803
524	889	804
525	891	803
526	892	801
527	894	799
528	897	798
529	898	797
530	900	795
531	902	793
532	903	791
533	904	789
534	906	787
535	907	785
536	908	783
537	914	785
538	921	788
539	923	786
540	925	784
541	927	784
542	929	782
543	930	780
544	931	778
545	933	775
546	934	774
547	936	772
548	937	770
549	939	768
550	940	766
551	942	765
552	944	763
553	945	761
554	947	759
555	948	757
556	949	755
557	950	753
558	952	751
559	953	748
560	954	746
561	955	744
562	956	742
563	958	741
564	959	739
565	961	737
566	963	735
567	964	733
568	965	731
569	966	729
570	968	727
571	969	725
572	973	725
573	974	723
574	976	721
575	980	721
576	981	719
577	983	717
578	984	715
579	985	713
580	987	711
581	988	710
582	990	708
583	991	706
584	992	704
585	993	702
586	994	700
587	996	698
588	997	696
589	998	694
590	1000	692
591	1002	690
592	1003	689
593	1005	687
594	1007	685
595	1008	683
596	1009	681
597	1011	679
598	1012	677
599	1013	675
600	1015	673
601	1016	672
602	1018	670
603	1019	668
604	1020	666
605	1021	664
606	1022	662
607	1023	660
608	1024	658
609	1025	655
610	1026	653
611	1028	651
612	1029	649
613	1030	647
614	1031	646
615	1033	644
616	1034	642
617	1035	640
618	1036	638
619	1037	636
620	1039	634
621	1040	632
622	1041	630
623	1042	628
624	1043	625
625	1044	623
626	1045	621
627	1046	620
628	1048	618
629	1049	616
630	1050	614
631	1052	612
632	1053	610
633	1055	609
634	1056	607
635	1058	605
636	1060	604
637	1062	602
638	1064	601
639	1066	599
640	1068	598
641	1070	596
642	1071	594
643	1073	593
644	1074	591
645	1076	590
646	1078	588
647	1080	586
648	1081	585
649	1083	583
650	1085	581
651	1086	580
652	1089	578
653	1090	576
654	1092	575
655	1095	574
656	1097	572
657	1099	571
658	1100	569
659	1102	567
660	1103	565
661	1105	564
